2026-01-31 01:00:29,0.00,0
2026-01-31 01:02:01,0.00,0
2026-01-31 01:09:48,0.00,0
2026-01-31 00:21:10,5.08,50
2026-01-31 00:23:01,5.08,50
2026-01-31 00:25:01,5.08,50
2026-01-31 00:27:02,6.06,67
2026-01-31 00:29:01,6.06,67
2026-01-31 00:31:01,6.06,67
2026-01-31 00:31:07,6.06,67
2026-01-31 00:32:12,6.06,67
2026-01-31 00:33:34,6.06,67
2026-01-31 00:33:51,6.06,67
2026-01-31 00:35:01,6.06,67
2026-01-31 00:37:01,6.06,67
2026-01-31 00:38:46,6.06,67
2026-01-31 00:39:04,6.06,67
2026-01-31 00:39:33,6.06,67
